#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Protein product	Length	Protein name
Un	NW_013657680.1	51775	68425	-	106542050	THBS1	XP_013913520.1	1167	PREDICTED: thrombospondin-1
Un	NW_013657680.1	421340	443430	+	106542930	KATNBL1	XP_013914659.1	311	PREDICTED: KATNB1-like protein 1 isoform X1
Un	NW_013657680.1	426553	443430	+	106542930	KATNBL1	XP_013915402.1	304	PREDICTED: KATNB1-like protein 1 isoform X2
Un	NW_013657680.1	467004	468593	-	106544433	CHRM5	XP_013916553.1	529	PREDICTED: muscarinic acetylcholine receptor M5
Un	NW_013657680.1	516110	611054	+	106545322	AVEN	XP_013917704.1	333	PREDICTED: cell death regulator Aven
Un	NW_013657680.1	612148	700455	-	106537404	LOC106537404	XP_013910834.1	1680	PREDICTED: ryanodine receptor 3-like
Un	NW_013657680.1	703002	705080	+	106546199	LOC106546199	XP_013922241.1	121	PREDICTED: ryanodine receptor 3-like
Un	NW_013657680.1	711747	776380	-	106555382	LOC106555382	XP_013931393.1	162	PREDICTED: ryanodine receptor 3-like
Un	NW_013657680.1	808285	928191	+	106546200	FMN1	XP_013918848.1	1362	PREDICTED: formin-1 isoform X1
Un	NW_013657680.1	832046	928191	+	106546200	FMN1	XP_013919599.1	1248	PREDICTED: formin-1 isoform X2
Un	NW_013657680.1	962709	963257	-	106538238	GREM1	XP_013909299.1	144	PREDICTED: gremlin-1 isoform X2
Un	NW_013657680.1	962709	963257	-	106538238	GREM1	XP_013908527.1	182	PREDICTED: gremlin-1 isoform X1
Un	NW_013657680.1	989685	1001641	-	106547665	SCG5	XP_013920745.1	215	PREDICTED: neuroendocrine protein 7B2
Un	NW_013657680.1	1011741	1023661	-	106548606	ARHGAP11A	XP_013922625.1	918	PREDICTED: rho GTPase-activating protein 11A isoform X2
Un	NW_013657680.1	1011741	1023661	-	106548606	ARHGAP11A	XP_013921864.1	943	PREDICTED: rho GTPase-activating protein 11A isoform X1
Un	NW_013657680.1	1011741	1020185	-	106548606	ARHGAP11A	XP_013923368.1	844	PREDICTED: rho GTPase-activating protein 11A isoform X3
Un	NW_013657680.1	1043344	1076321	+	106550700	RASGRP1	XP_013924499.1	739	PREDICTED: RAS guanyl-releasing protein 1
Un	NW_013657680.1	1102482	1111534	-	106537405	FAM98B	XP_013907366.1	243	PREDICTED: protein FAM98B, partial
Un	NW_013657680.1	1137365	1214641	-	106552272	SPRED1	XP_013926362.1	414	PREDICTED: sprouty-related, EVH1 domain-containing protein 1
Un	NW_013657680.1	1715793	1969312	+	106553187	MEIS2	XP_013927480.1	479	PREDICTED: LOW QUALITY PROTEIN: homeobox protein Meis2
Un	NW_013657680.1	2038809	2181077	-	106555695	LOC106555695	XP_013930439.1	276	PREDICTED: uncharacterized protein C15orf41 homolog
Un	NW_013657680.1	2894068	2946332	+	106556691	AQR	XP_013931202.1	1472	PREDICTED: intron-binding protein aquarius
Un	NW_013657680.1	2992227	3006852	+	106556798	ACTC1	XP_013931318.1	235	PREDICTED: actin, alpha cardiac muscle 1
Un	NW_013657680.1	3230428	3269355	-	106556882	LOC106556882	XP_013931511.1	924	PREDICTED: serine/threonine-protein phosphatase 4 regulatory subunit 1-like isoform X2
Un	NW_013657680.1	3230428	3269355	-	106556882	LOC106556882	XP_013931430.1	939	PREDICTED: serine/threonine-protein phosphatase 4 regulatory subunit 1-like isoform X1
Un	NW_013657680.1	3270043	3295295	+	106557021	RAB22A	XP_013931634.1	198	PREDICTED: ras-related protein Rab-22A isoform X1
Un	NW_013657680.1	3270043	3290288	+	106557021	RAB22A	XP_013931708.1	194	PREDICTED: ras-related protein Rab-22A isoform X2
Un	NW_013657680.1	3311478	3343348	+	106557153	VAPB	XP_013931822.1	243	PREDICTED: vesicle-associated membrane protein-associated protein B/C
Un	NW_013657680.1	3359318	3360083	-	106539721	APCDD1L	XP_013910444.1	510	PREDICTED: protein APCDD1-like
Un	NW_013657680.1	3388754	3615616	-	106557241	TMTC2	XP_013931940.1	834	PREDICTED: transmembrane and TPR repeat-containing protein 2
Un	NW_013657680.1	3687863	3723148	-	106557322	METTL25	XP_013932050.1	621	PREDICTED: methyltransferase-like protein 25
Un	NW_013657680.1	3723401	3728161	+	106557411	CCDC59	XP_013907068.1	207	PREDICTED: thyroid transcription factor 1-associated protein 26 isoform X2
Un	NW_013657680.1	3723401	3725885	+	106557411	CCDC59	XP_013906992.1	161	PREDICTED: thyroid transcription factor 1-associated protein 26 isoform X1
Un	NW_013657680.1	3888059	3895724	+	106540576	LOC106540576	XP_013911610.1	141	PREDICTED: emerin-like
Un	NW_013657681.1	3155	20745	+	106539126	LOC106539126	XP_013909335.1	257	PREDICTED: abhydrolase domain-containing protein 12B-like, partial
